,0
0,0.0105059573
1,0.0003033897
2,0.003917296
3,0.0134380984
4,0.0004019245
5,0.0037282128
6,0.0206206447
7,0.0109507057
8,0.0189535058
9,0.0034565726
10,-0.0048631438
11,0.0003007252
12,0.0079573121
13,0.0274676303
14,0.0139254566
15,0.0062262583
16,0.0347966491
17,-0.00357151
18,0.0074406599
19,-0.003733962
20,-0.0003730551
21,0.006990587
22,0.0381469058
23,0.0206179801
24,0.0437422064
25,0.0369591363
26,0.0427408564
27,0.0233104377
28,0.041414605
29,0.0486637289
30,0.047563844
31,0.0263730711
32,0.018490115
33,0.0363279674
34,0.0465438526
35,0.0215447599
36,0.0307433185
37,0.0538355878
38,0.0143568876
39,0.0149560984
40,0.0306208138
41,0.0346102288
42,0.0330256459
43,0.0197418018
44,0.0432149019
45,0.0271587041
46,0.0649409691
47,0.0404931522
48,0.0880119334
49,0.0735003694
50,0.0855085618
51,0.0823447261
52,0.083724243
53,0.0963929021
54,0.0743525787
55,0.0864539826
56,0.0744697595
57,0.0436250293
58,0.0689223941
59,0.0668664348
60,0.0745896006
61,0.0563815682
62,0.0765150665
63,0.0873061945
64,0.0875804999
65,0.0915992107
66,0.1039163313
67,0.1161748599
68,0.1051413845
69,0.1079456927
70,0.1159511559
71,0.104784519
72,0.1197568119
73,0.0809785241
74,0.1102892732
75,0.113714102
76,0.1081161344
77,0.1031812972
78,0.1297543183
79,0.1043930366
80,0.1357118092
81,0.1312483523
82,0.1267103257
83,0.1414136356
84,0.1435734627
85,0.1375840119
86,0.1446333986
87,0.1177088405
88,0.129205708
89,0.1290618959
90,0.1341005953
91,0.1405667485
92,0.1417918043
93,0.1426786396
94,0.1494244256
95,0.173483421
96,0.1628094731
97,0.1494057815
98,0.1303934752
99,0.131701089
100,0.1300925401
101,0.1416719626
102,0.15579737
103,0.145054178
104,0.1641783369
105,0.1928046542
106,0.1445961149
107,0.164492591
108,0.1490675596
109,0.1662582674
110,0.1477093483
111,0.142907671
112,0.162830778
113,0.1774488702
114,0.2056597358
115,0.1816140531
116,0.1792491671
117,0.1689880067
118,0.1626123988
119,0.1623673877
120,0.1919151578
121,0.1508279077
122,0.2163976002
123,0.2074413933
124,0.2190447794
125,0.1987967689
126,0.2154601658
127,0.1803623657
128,0.1846713609
129,0.1883465233
130,0.2057103324
131,0.1908445666
132,0.2122989937
133,0.1951748686
134,0.1781492815
135,0.1327130893
136,0.200764844
137,0.2044240257
138,0.2053774372
139,0.2260355799
140,0.2379798566
141,0.2045065855
142,0.2061311121
143,0.2115320043
144,0.1891960719
145,0.2135586702
146,0.2294470894
147,0.2089141163
148,0.2572771208
149,0.2070472387
150,0.207273609
151,0.2030178778
152,0.2093375586
153,0.2133988789
154,0.2290076644
155,0.222397699
156,0.2302007606
157,0.1870761949
158,0.2034519744
159,0.2316468585
160,0.2582651526
161,0.2188903206
162,0.2406297023
163,0.2558736338
164,0.1954545012
165,0.1700372918
166,0.2260781898
167,0.2413727226
168,0.2051803675
169,0.2326615231
170,0.2614795919
171,0.2123549228
172,0.1625458228
173,0.148260625
174,0.2660735414
175,0.25523714
176,0.2019659288
177,0.1793450411
178,0.254020073
179,0.2445578624
180,0.2493062802
181,0.2404352908
182,0.2651520879
183,0.2319850826
184,0.2597352186
185,0.2492317101
186,0.2469653596
187,0.2383819921
188,0.2526831681
189,0.2636607178
190,0.2625368626
191,0.176143922
192,0.2464140893
193,0.2369199175
194,0.2513968611
195,0.2537670746
196,0.1782371658
197,0.2440438722
198,0.2562624567
199,0.2542784
200,0.2656500987
201,0.1876274717
202,0.2796077258
203,0.2843747837
204,0.2116278781
205,0.2706488523
206,0.2818580969
207,0.2611040827
208,0.1787911038
209,0.1712916423
210,0.1731052552
211,0.2500066929
212,0.2684943575
213,0.1727084427
214,0.2567844369
215,0.2498282598
216,0.2421769982
217,0.2694317891
218,0.2664304029
219,0.2512930004
220,0.2643957504
221,0.2473408674
222,0.2749951288
223,0.2704038403
224,0.2740070964
225,0.2259237244
226,0.2368852963
227,0.2715463382
228,0.1897979485
229,0.1866261213
230,0.187654104
231,0.3045056174
232,0.259229218
233,0.2650162686
234,0.1877632944
235,0.1965330804
236,0.2917970113
237,0.282486601
238,0.2660415834
239,0.2894640828
240,0.2519747662
241,0.2566060037
242,0.2961219858
243,0.2372980855
244,0.2759725104
245,0.2839859627
246,0.2832695702
247,0.2938556362
248,0.2768699961
249,0.2912830229
250,0.2845425623
251,0.2945480579
252,0.2780843983
253,0.269932462
254,0.2402968052
255,0.2105599513
256,0.3051208062
257,0.2853468359
258,0.2267945786
259,0.2409066685
260,0.2761855609
261,0.2911898124
262,0.2950913394
263,0.2778766703
264,0.2948942686
265,0.3088092843
266,0.2923669284
267,0.281618412
268,0.2872589863
269,0.2208450788
270,0.2057689235
271,0.2655835197
272,0.2952751003
273,0.300926327
274,0.3070862169
275,0.2153616264
276,0.3156429538
277,0.2892377137
278,0.2871924072
279,0.2728832422
280,0.205534567
281,0.2799965454
282,0.2581186785
283,0.2361289588
284,0.3108812238
285,0.2908915356
286,0.2647606028
287,0.2824386636
288,0.244967989
289,0.2870619113
290,0.2899567661
291,0.2229329977
292,0.2301102155
293,0.2324617889
294,0.2300596169
295,0.2079873361
296,0.2248158529
297,0.2176253174
298,0.2979222807
299,0.2856317927
